id	trait	infection	MRBASEID	Zhengetal	uri
EFO_0000270	asthma	0	ukb-b-20208	ukb-a-66	http://www.ebi.ac.uk/efo/EFO_0000270
EFO_0000274	atopic eczema	0	ukb-b-20141	ieu-a-996	http://www.ebi.ac.uk/efo/EFO_0000274
EFO_0000384	Crohn's disease	0	ukb-a-552	ieu-a-12	http://www.ebi.ac.uk/efo/EFO_0000384
EFO_0000584	meningitis infection	1	finn-a-MENINGITIS	NA	NA
EFO_0000676	psoriasis	0	ukb-b-10537	ukb-a-100	http://www.ebi.ac.uk/efo/EFO_0000676
EFO_0000685	rheumatoid arthritis	0	ukb-b-9125	ieu-a-833	http://www.ebi.ac.uk/efo/EFO_0000685
EFO_0000699	Sjogren syndrome	0	finn-a-M13_SJOGREN	NA	http://www.ebi.ac.uk/efo/EFO_0000699
EFO_0000729	ulcerative colitis	0	ukb-b-19386	ieu-a-970	http://www.ebi.ac.uk/efo/EFO_0000729
EFO_0000764	HIV infection	1	finn-a-AB1_HIV	NA	http://www.ebi.ac.uk/efo/EFO_0000764
EFO_0001060	celiac disease	0	ieu-a-276	ieu-a-1058	http://www.ebi.ac.uk/efo/EFO_0001060
EFO_0001420	sepsis	1	ieu-b-69	NA	NA
EFO_0002609	juvenile idiopathic arthritis	0	ebi-a-GCST005528	NA	http://www.ebi.ac.uk/efo/EFO_0002609
EFO_0002690	systemic lupus erythematosus	0	ebi-a-GCST003156	ieu-a-815	http://www.ebi.ac.uk/efo/EFO_0002690
EFO_0003103	urinary tract infection	1	ukb-b-8814	NA	NA
EFO_0003106	pneumonia	1	ukb-b-15606	NA	http://www.ebi.ac.uk/efo/EFO_0003106
EFO_0003767	inflammatory bowel disease	0	ieu-a-31	ieu-a-294	http://www.ebi.ac.uk/efo/EFO_0003767
EFO_0003785	allergy	0	ukb-b-16702	NA	http://www.ebi.ac.uk/efo/EFO_0003785
EFO_0003885	multiple sclerosis	0	ieu-b-18	ieu-a-1025	http://www.ebi.ac.uk/efo/EFO_0003885
EFO_0003898	ankylosing spondylitis	0	ukb-b-18194	ukb-a-88	http://www.ebi.ac.uk/efo/EFO_0003898
EFO_0004194	IGA glomerulonephritis	0	ieu-a-1081	NA	http://www.ebi.ac.uk/efo/EFO_0004194
EFO_0004208	Vitiligo	0	ukb-a-115	ukb-a-115	http://www.ebi.ac.uk/efo/EFO_0004208
EFO_0004237	Graves disease	0	bbj-a-123	ukb-a-76	http://www.ebi.ac.uk/efo/EFO_0004237
EFO_0004268	sclerosing cholangitis	0	ieu-a-1112	NA	http://www.ebi.ac.uk/efo/EFO_0004268
EFO_0004274	gout	0	ukb-b-13251	ukb-a-107	http://www.ebi.ac.uk/efo/EFO_0004274
EFO_0004705	hypothyroidism	0	ukb-b-19732	ukb-a-77	http://www.ebi.ac.uk/efo/EFO_0004705
EFO_0005854	allergic rhinitis	0	ukb-b-16499	ukb-a-94	http://www.ebi.ac.uk/efo/EFO_0005854
EFO_1001486	primary biliary cirrhosis	0	ebi-a-GCST005581	NA	http://www.ebi.ac.uk/efo/EFO_1001486
Orphanet_3389	Tuberculosis	1	ukb-b-15622	NA	http://www.orpha.net/ORDO/Orphanet_3389
Orphanet_797	Sarcoidosis	0	finn-a-D3_SARCOIDOSIS	NA	http://www.orpha.net/ORDO/Orphanet_797
